Section,Topic,Number,Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Importing Images into Lightroom Classic,File Renaming,3,"If you use the ""Custom Name - Sequence"" template, what will the resulting filenames look like?","A custom name you enter, followed by a sequence number (e.g., MyTrip-1.CR2).","The original filename followed by a sequence number (e.g., IMG_1234-1.CR2).","The date the photo was taken, followed by a sequence number (e.g., 20231026-1.CR2).","The camera's serial number, followed by a sequence number."
Importing Images into Lightroom Classic,File Renaming,4,Where can you access the Filename Template Editor?,"In the ""File Renaming"" panel of the Import dialog, by selecting ""Edit..."" from the ""Template"" dropdown menu.","In the ""File Handling"" panel of the Import dialog.","In the ""Library"" module, by going to the ""Library"" menu and selecting ""Rename Photos.""","In the ""Develop"" module, under the ""Presets"" panel."
Importing Images into Lightroom Classic,File Renaming,5,"What is the purpose of the ""Start Number"" field in the File Renaming panel?",It determines the first number in a sequence for renamed files.,It specifies the number of digits in the sequence number.,It indicates the total number of photos to be renamed.,It is not a feature in the File Renaming panel.
Importing Images into Lightroom Classic,Apply During Import,1,"Which combination of settings can be applied automatically in the ""Apply During Import"" panel?","Develop settings, a metadata preset, and keywords.","Star ratings, colour labels, and flags.",Export settings and watermarks.,Print templates and slideshow settings.
Importing Images into Lightroom Classic,Apply During Import,2,What is the primary benefit of applying a metadata preset during import?,"It adds copyright information, contact details, and other metadata to your photos as they are imported.",It automatically adjusts the exposure and white balance of your photos.,It organises your photos into collections based on their metadata.,It renames your files based on their metadata.
Importing Images into Lightroom Classic,Apply During Import,3,How can you add keywords to your photos during the import process?,"By typing them into the ""Keywords"" field in the ""Apply During Import"" panel.","By using the ""Painter"" tool inside the Import dialog.",By dragging keywords onto the thumbnails in the Import dialog.,Keywords cannot be added during import.
Importing Images into Lightroom Classic,Apply During Import,4,"If you apply a Develop preset during import, when will you see the changes?",After the import is complete and you are viewing the photos in the Library module.,Immediately in the Import dialog previews.,Only after you have opened the photos in the Develop module.,The changes are only applied to the exported images.
Importing Images into Lightroom Classic,Apply During Import,5,"What is the purpose of the ""Metadata"" dropdown menu in the ""Apply During Import"" panel?",It lets you select a previously saved metadata preset to apply to your imported photos.,It allows you to choose which metadata fields are displayed in the Library module.,It provides a list of all the metadata associated with the selected photo.,It is used to filter photos based on their metadata.
Importing Images into Lightroom Classic,Destination,1,"When you choose to organise your photos ""By date"" in the Destination panel, what will the folder structure look like?","A series of folders organised by date (e.g., year, then month, then day).",A single folder containing all the imported photos.,"A separate folder for each photo, named with the date the photo was taken.",A folder structure that you define manually.
Importing Images into Lightroom Classic,Destination,2,"What does the ""Into Subfolder"" option in the Destination panel allow you to do?",Create a new subfolder within the selected destination folder for your imported photos.,Import your photos into an existing subfolder.,Organise your photos into subfolders based on their file type.,Create a virtual copy of your photos in a subfolder.
Importing Images into Lightroom Classic,Destination,3,"If you select ""Into one folder"" in the ""Organize"" dropdown menu, what will be the result?",All imported photos will be placed in a single folder that you specify.,Lightroom will create a new folder for each import session.,The photos will be organised by their original folder structure.,This is not a valid option in the Destination panel.
Importing Images into Lightroom Classic,Destination,4,How can you choose a different destination folder for your imported photos?,By clicking on the folder name in the Destination panel and navigating to the desired location.,By dragging and dropping the photos from the Import dialog to the desired folder on your computer.,"By typing the file path of the desired folder into the ""Destination"" field.",You cannot change the destination folder once the Import dialog is open.
Importing Images into Lightroom Classic,Destination,5,"What is the purpose of the ""Folders"" panel in the Library module after you have imported your photos?","It displays the folder structure of your hard drive, allowing you to see where your photos are located.",It is used to create and manage collections of your photos.,It provides a list of all the keywords used in your catalogue.,It is where you can edit the metadata of your photos.
Masking in Lightroom Classic,Understanding the Masking Panel,1,Where is the main Masking tool icon located in the Develop module?,"In the toolbar below the Histogram, represented by a circle with a dotted outline.","In the Basic panel, next to the ""Auto"" button.",In the bottom filmstrip toolbar.,"Under the ""Tools"" menu in the main menu bar."
Masking in Lightroom Classic,Understanding the Masking Panel,2,"In the Masking panel, what does a white overlay on your image signify?",The area that will be affected by the mask's adjustments.,The area that is protected from any adjustments.,The area that has been permanently deleted.,The area where the focus is sharpest.
Masking in Lightroom Classic,Understanding the Masking Panel,3,"How do you create a new, separate mask in the Masking panel after you have already created one?","Click the ""Create New Mask"" button in the main Masking panel.","Click the ""Add"" button within the existing mask's options.",Double-click the existing mask's pin on the image.,You can only have one mask per image.
Masking in Lightroom Classic,Understanding the Masking Panel,4,"What is the purpose of the ""Invert"" checkbox for a mask?","It reverses the selection, affecting the previously unselected area and protecting the selected area.",It flips the image horizontally.,It applies the opposite of the current slider adjustments.,It changes the mask overlay colour from red to green.
Masking in Lightroom Classic,Understanding the Masking Panel,5,How can you temporarily hide all mask overlays to see your image without distractions?,"By unchecking the ""Show Overlay"" box at the bottom of the Masking panel.",By pressing the 'H' key on the keyboard.,By closing and reopening the Masking panel.,By clicking the eye icon next to the mask's name.
Masking in Lightroom Classic,Select Subject and Select Sky,1,"What technology does ""Select Subject"" primarily use to identify the main subject in a photo?",Artificial Intelligence (AI) and machine learning,Colour contrast detection,Edge detection algorithms,Focus plane analysis
Masking in Lightroom Classic,Select Subject and Select Sky,2,"If ""Select Sky"" incorrectly includes a tree branch in its selection, what is the best next step to refine the mask?","Use the ""Subtract"" button and then the ""Brush"" tool to paint away the selection on the branch.",Delete the mask and try again.,"Lower the ""Feather"" of the entire mask until the branch is excluded.","Increase the ""Clarity"" slider to force a better selection."
Masking in Lightroom Classic,Select Subject and Select Sky,3,"After using ""Select Subject,"" you can...","Apply any local adjustment available in the masking panel, like temperature, texture, or saturation.",Only adjust the exposure of the subject.,No longer make any global adjustments to the entire image.,Not add any other masks to the photo.
Masking in Lightroom Classic,Select Subject and Select Sky,4,"When is ""Select Sky"" most likely to produce an accurate, one-click mask?","On a photo with a clean, well-defined horizon line.","On a photo with a complex, busy background and a clear sky.",On a photo taken indoors with no visible sky.,"On a photo with multiple objects overlapping the sky, like a dense forest."
Masking in Lightroom Classic,Select Subject and Select Sky,5,"What happens if you run ""Select Subject"" on an image with no clear, discernible subject?",Lightroom will attempt to create a selection based on what it interprets as the most prominent object.,Lightroom will display an error message and refuse to create a mask.,The entire image will be selected.,A random circular mask will be placed in the centre of the image.
Masking in Lightroom Classic,Select Background,1,"The ""Select Background"" mask is functionally the inverse of which other AI mask?",Select Subject,Select Sky,Select People,Objects
Masking in Lightroom Classic,Select Background,2,"When would you choose ""Select Background"" over manually brushing the background?",To save time when the background is complex but distinct from the subject.,"When you need to make extremely precise, pixel-perfect adjustments around a simple object.",When the AI tools are turned off in your Lightroom preferences.,When you want to apply a gradient effect to the background.
Masking in Lightroom Classic,Select Background,3,"After creating a ""Select Background"" mask, you notice a small part of the subject was included in the mask. How do you fix this?","Click ""Subtract"" from the mask and use the ""Brush"" to remove the selection from the subject.","Increase the mask's ""Dehaze"" slider.","Create a new ""Select Subject"" mask and merge them.",You must delete the mask and start over.
Masking in Lightroom Classic,Select Background,4,"""Select Background"" works by first identifying the...",Subject of the image.,Out-of-focus areas of the image.,Darkest parts of the image.,Edges of the frame.
Masking in Lightroom Classic,Select Background,5,"Which of these adjustments is most commonly applied using a ""Select Background"" mask?",Slightly decreasing the exposure or saturation to make the subject stand out.,Sharpening the background.,Increasing the highlights in the background.,Applying a heavy vignette to the background.
Masking in Lightroom Classic,Objects Tool,1,"The ""Objects"" selection tool has two modes. What are they?",Brush and Rectangle,Circle and Square,Hard and Soft,Add and Subtract
Masking in Lightroom Classic,Objects Tool,2,"What is the primary purpose of the ""Objects"" tool?","To allow the user to make a rough selection of an object, which Lightroom's AI then refines.",To automatically detect all objects in a scene.,To create geometric shapes like circles and squares.,To select a specific colour range within the image.
Masking in Lightroom Classic,Objects Tool,3,"How does the ""Brush"" mode within the ""Objects"" tool differ from the regular ""Brush"" mask tool?",It is content-aware and tries to find the edges of the object you are painting over.,It can only paint in black and white.,It applies adjustments directly as you paint.,There is no difference.
Masking in Lightroom Classic,Objects Tool,4,"When using the ""Rectangle"" mode of the ""Objects"" tool, what is the best practice for making a selection?",Draw a tight rectangle that just encompasses the object you want to select.,Draw a rectangle that is much larger than the object.,You must click on the four corners of the object you want to select.,Draw a rectangle over a different object to confuse the AI.
Masking in Lightroom Classic,Objects Tool,5,"After the AI refines your ""Objects"" selection, what is the recommended way to add a missed part of the object to the selection?","Use the ""Add"" button within the same mask and use the ""Brush"" to paint over the missed area.","Create a completely new ""Objects"" mask and merge them.","Adjust the ""Feather"" slider until the missed part is included.","Use the ""Select Subject"" tool to update the mask."
Masking in Lightroom Classic,"Brush, Linear Gradient, and Radial Gradient",1,Which setting controls the hardness of the edge of the Brush tool?,Feather,Flow,Density,Size
Masking in Lightroom Classic,"Brush, Linear Gradient, and Radial Gradient",2,"What is the main function of a ""Linear Gradient"" mask?",To create a selection that fades gradually in a straight line.,To select a circular or oval area.,To paint a selection with a brush.,To automatically select the horizon line in a landscape.
Masking in Lightroom Classic,"Brush, Linear Gradient, and Radial Gradient",3,"When using the ""Radial Gradient"" tool, what does the ""Feather"" slider control?",The smoothness of the transition between the selected and unselected areas.,The size of the oval shape.,The opacity of the entire selection.,The angle of the gradient.
Masking in Lightroom Classic,"Brush, Linear Gradient, and Radial Gradient",4,"How can you constrain the ""Brush"" tool to paint in a perfectly straight horizontal or vertical line?","Hold down the 'Shift' key, click a start point, and then click an end point.",Hold down the 'Ctrl' (Cmd on Mac) key while painting.,Double-click the Brush icon.,"Use the ""Auto Mask"" feature."
Masking in Lightroom Classic,"Brush, Linear Gradient, and Radial Gradient",5,"By default, where are the adjustments of a ""Radial Gradient"" applied?",Inside the oval shape.,Outside the oval shape.,Both inside and outside the oval shape equally.,Only to the edge of the oval shape.
Masking in Lightroom Classic,"Luminance, Color, and Depth Range Masks",1,"A ""Luminance Range"" mask allows you to refine a selection based on...",Brightness,Colour,Sharpness,Camera-to-subject distance
Masking in Lightroom Classic,"Luminance, Color, and Depth Range Masks",2,"You have used a Linear Gradient to select the sky. How could you use a ""Color Range"" mask to refine this selection to only affect the blue parts of the sky, avoiding clouds?","Intersect the gradient mask with a ""Color Range"" mask, sampling the blue colour.","Subtract a ""Luminance Range"" mask from the gradient.","Create a separate ""Brush"" mask for the clouds.",This type of refinement is not possible.
Masking in Lightroom Classic,"Luminance, Color, and Depth Range Masks",3,"The ""Depth Range"" masking option is only available for which type of image files?",Images containing an embedded depth map (like HEIC files from a smartphone's portrait mode).,JPEGs,DNGs,PNGs
Masking in Lightroom Classic,"Luminance, Color, and Depth Range Masks",4,"In the ""Luminance Range"" tool, what does the ""Smoothness"" slider control?",How gradually the selection fades out at the edges of the selected brightness range.,The overall brightness of the selected area.,The size of the selected area.,The feathering of the original mask.
Masking in Lightroom Classic,"Luminance, Color, and Depth Range Masks",5,"How do you activate the ""Color Range"" picker to sample a colour from the image?",Click on the eyedropper icon within the Color Range mask controls.,Press the 'C' key.,Double-click on the image.,It is always active by default.
Masking in Lightroom Classic,Intersecting and Subtracting Masks,1,"What is the result of ""Intersecting"" Mask A with Mask B?",The final selection is the area where Mask A and Mask B overlap.,The final selection is the combined area of both Mask A and Mask B.,The area of Mask B is removed from Mask A.,Mask B completely replaces Mask A.
Masking in Lightroom Classic,Intersecting and Subtracting Masks,2,"You have used ""Select Sky"" but it also selected the reflection of the sky in a lake. What is the most efficient way to remove the lake from the selection?","From the ""Select Sky"" mask, choose ""Subtract"" and then use a ""Linear Gradient"" to cover the lake.",Manually erase the selection on the lake with the Brush tool.,"Lower the ""Flow"" of the ""Select Sky"" mask.","Create a ""Select Subject"" mask to counteract it."
Masking in Lightroom Classic,Intersecting and Subtracting Masks,3,"Which of the following scenarios would be a good use case for the ""Intersect"" function?","Selecting the sky, then intersecting it with a ""Luminance Range"" mask to only affect the brightest clouds.","Selecting a person's face, then subtracting their eyes to avoid over-sharpening them.",Selecting the entire image and then adding a radial filter to the centre.,"Selecting a blue car, then adding the red taillights to the same mask."
Masking in Lightroom Classic,Intersecting and Subtracting Masks,4,"How do you access the ""Intersect"" command in the Masking panel?","Click the three-dot menu next to a mask component and choose ""Intersect Mask With"".",It has a dedicated button at the top of the panel.,"Right-click on the image and select ""Intersect"".",Press the 'I' key while a mask is selected.
Masking in Lightroom Classic,Intersecting and Subtracting Masks,5,"What is the difference between ""Add"" and ""Intersect""?","""Add"" expands the masked area, while ""Intersect"" restricts it.","""Intersect"" is used for AI masks, while ""Add"" is for manual masks.",They are the same function with different names.,"""Add"" can only be used with the Brush tool, while ""Intersect"" can be used with any tool."
Global Adjustments,The Basic Panel: White Balance & Tone,1,What is the primary function of the White Balance controls (Temp & Tint)?,To remove or correct unrealistic colour casts so that objects which appear white in person are rendered white in the photo.,To adjust the overall brightness and contrast of the image.,To increase the saturation and vibrance of the colours.,To convert the image to black and white.
Global Adjustments,The Basic Panel: White Balance & Tone,2,"If you drag the Exposure slider to the right, what effect does it have on the image?","It makes the entire image brighter, affecting the mid-tones the most.",It makes the entire image darker.,It increases the contrast between light and dark areas.,It specifically brightens the shadow areas.
Global Adjustments,The Basic Panel: White Balance & Tone,3,Which slider specifically targets the brightest areas of an image and is used to recover detail in overexposed areas like a bright sky?,Highlights,Exposure,Whites,Contrast
Global Adjustments,The Basic Panel: White Balance & Tone,4,The Shadows slider is most effective for:,Brightening the darkest parts of the image to reveal more detail.,Making the darkest parts of the image even darker.,Increasing the overall contrast of the image.,Adding a colour tint to the shadow areas.
Global Adjustments,The Basic Panel: White Balance & Tone,5,What is the difference between the Whites and the Highlights sliders?,"Highlights affects the brighter range of tones, while Whites sets the absolute white point of the image.",There is no difference; they perform the same function.,"Whites adjusts the colour temperature, while Highlights adjusts the brightness.","Highlights is for colour images, and Whites is for black and white images."
Global Adjustments,The Basic Panel: Presence,1,"Which ""Presence"" slider is best for enhancing medium-sized details and adding ""punch"" to the mid-tones?",Clarity,Texture,Dehaze,Vibrance
Global Adjustments,The Basic Panel: Presence,2,The Texture slider is designed to affect what kind of details?,"Fine, high-frequency details, like skin pores or fabric weaves, without affecting larger details.","Large, broad areas of contrast.",The overall brightness of the image.,Atmospheric haze in landscape photos.
Global Adjustments,The Basic Panel: Presence,3,What is the primary purpose of the Dehaze slider?,"To add or remove atmospheric haze, fog, or mist from a photo.",To soften the details in an image for a dreamy effect.,To adjust the overall colour saturation.,To sharpen the edges of objects in the photo.
Global Adjustments,The Basic Panel: Presence,4,What is the key difference between Vibrance and Saturation?,"Vibrance intelligently increases the intensity of muted colours more than already saturated colours, preventing skin tones from looking unnatural.","Vibrance increases the intensity of all colours equally, while Saturation is more targeted.","Saturation only affects warm colours, while Vibrance only affects cool colours.",They are identical tools with different names.
Global Adjustments,The Basic Panel: Presence,5,Dragging the Clarity slider to a negative value will have what effect?,"It will soften the image, which can be useful for flattering portraits.",It will sharpen the image.,It will increase contrast.,It will remove colour from the image.
Global Adjustments,The Tone Curve Panel,1,"In the standard Tone Curve graph, what does the horizontal axis represent?","The original input tones of the image, from black on the left to white on the right.",The output tones (the new brightness values after adjustment).,The hue of the colours in the image.,The amount of sharpening applied.
Global Adjustments,The Tone Curve Panel,2,"Creating a gentle ""S-curve"" with the Tone Curve will typically have what effect on your image?",It will increase the overall contrast of the image.,It will decrease the saturation.,It will mute the highlights and shadows.,It will make the entire image brighter.
Global Adjustments,The Tone Curve Panel,3,"How do you adjust a specific tonal range (e.g., darks, lights) using the sliders available in the Tone Curve panel?","By using the Highlights, Lights, Darks, and Shadows sliders below the main graph.",By clicking directly on the curve and dragging.,By using the White Balance eyedropper tool.,These tonal ranges cannot be adjusted with sliders in the Tone Curve panel.
Global Adjustments,The Tone Curve Panel,4,"What does the ""Targeted Adjustment Tool"" within the Tone Curve panel allow you to do?",It lets you click and drag up or down directly on the photo to brighten or darken the corresponding tones on the curve.,It automatically sets the white and black points of the image.,It applies a preset curve based on the area you click.,It selects a specific colour to be adjusted.
Global Adjustments,The Tone Curve Panel,5,"What does ""clipping the blacks"" or ""crushing the blacks"" mean when using the Tone Curve?","Shifting the bottom-left point of the curve to the right, making the darkest parts of the image pure black with no detail.",Brightening the shadow areas to show more detail.,Adding a blue tint to the shadow areas.,Making the entire image less contrasty.
Global Adjustments,The HSL/Color Panel,1,"What does ""HSL"" stand for?","Hue, Saturation, Luminance","Highlights, Shadows, Luminance",High-Saturation Level,"Hazy, Sharp, Light"
Global Adjustments,The HSL/Color Panel,2,"If you select the ""Hue"" tab in the HSL panel and adjust the ""Blue"" slider, what are you changing?","You are changing the actual shade of blue, shifting it towards aqua or purple.",You are changing how bright or dark the blue tones are.,You are changing the intensity or purity of the blue tones.,You are removing all blue from the image.
Global Adjustments,The HSL/Color Panel,3,The Luminance tab in the HSL panel is most commonly used for what purpose in landscape photography?,To darken blue skies to make them appear richer and more dramatic.,To make the entire photo brighter.,To change the colour of the sky.,To increase the saturation of the foliage.
Global Adjustments,The HSL/Color Panel,4,What is the function of the Targeted Adjustment Tool in the HSL panel?,"It allows you to click on a specific colour in the image and drag up or down to adjust its Hue, Saturation, or Luminance.",It automatically creates a perfect colour balance.,It crops the image to focus on a specific colour.,It only works for adjusting the grayscale mix.
Global Adjustments,The HSL/Color Panel,5,"What is the difference between the ""HSL"" and ""Color"" modes in this panel?","""HSL"" groups adjustments by function (Hue, Saturation, Luminance), while ""Color"" groups them by colour channel (Red, Orange, Yellow, etc.).","The ""Color"" mode is for colour images and ""HSL"" is for black and white.","The ""HSL"" mode is less precise than the ""Color"" mode.","There is no functional difference, only a different layout."
Global Adjustments,Color Grading,1,The Color Grading panel allows you to add a colour tint to which three distinct tonal ranges?,"Highlights, Midtones, and Shadows","Reds, Greens, and Blues","Lights, Darks, and Presence","Texture, Clarity, and Dehaze"
Global Adjustments,Color Grading,2,"On the colour wheels in the Color Grading panel, what does moving the control handle from the centre towards the outer edge do?",It increases the saturation (intensity) of the selected colour tint.,It changes the hue of the colour tint.,It brightens the selected tonal range.,It blends the tonal ranges together.
Global Adjustments,Color Grading,3,What do the Blending and Balance sliders control in the Color Grading panel?,"Blending controls how much the colour tints overlap, and Balance shifts the division point between what is considered shadows and highlights.","Blending controls the overall saturation, and Balance controls the overall brightness.","Blending mixes the three colour wheels into one, and Balance adjusts the white balance.",They control the amount of sharpening and noise reduction.
Global Adjustments,Color Grading,4,"The single ""Global"" colour wheel allows you to do what?","It applies a single colour tint and saturation adjustment across the entire image, independent of tonal range.",It adjusts the white balance of the entire image.,It shows a summary of the adjustments made to the other three wheels.,It automatically selects complementary colours for your image.
Global Adjustments,Color Grading,5,"""Split Toning,"" the predecessor to Color Grading, was limited to adjusting which tonal ranges?",Shadows and Highlights,Midtones and Highlights,Only the Shadows,Only the Midtones
Keyboard Shortcuts,Library Module: Viewing & Rating,1,Which key switches you to Grid view (seeing many thumbnails) in the Library module?,G,E,L,D
Keyboard Shortcuts,Library Module: Viewing & Rating,2,"You are viewing an image and want to cycle through the ""Lights Out"" modes to focus on your photo against a dim or black background. Which key do you press?",L,F,D,I
Keyboard Shortcuts,Library Module: Viewing & Rating,3,"What is the keyboard shortcut to set a ""Pick"" flag on an image?",P,F,1,W
Keyboard Shortcuts,Library Module: Viewing & Rating,4,How can you quickly give an image a 3-star rating using the keyboard?,Press the number '3' key.,Press the 'S' key three times.,Hold 'Alt' and press '3'.,Hold 'Ctrl' and press '3'.
Keyboard Shortcuts,Library Module: Viewing & Rating,5,"To compare two images side-by-side in the Library module, you should select both thumbnails and press which key?",C,N,2,Y
Keyboard Shortcuts,Library Module: Organisation,1,"What is the shortcut to create a new ""Virtual Copy"" of a selected photograph, allowing you to have multiple edits of the same source file?",Ctrl+' (Cmd+'),Ctrl+V (Cmd+V),Ctrl+C (Cmd+C),Alt+V (Opt+V)
Keyboard Shortcuts,Library Module: Organisation,2,Which key adds a selected photo to the Quick Collection?,B,Q,C,A
Keyboard Shortcuts,Library Module: Organisation,3,"You want to quickly create a new standard Collection in the Collections panel. What is the keyboard shortcut to bring up the ""Create Collection"" dialog box?",Ctrl+N (Cmd+N),Ctrl+Shift+C (Cmd+Shift+C),Alt+C (Opt+C),Ctrl+G (Cmd+G)
Keyboard Shortcuts,Library Module: Organisation,4,"To see where your photo is located on your computer's hard drive, you can use which shortcut to ""Show in Explorer"" (Windows) or ""Show in Finder"" (Mac)?",Ctrl+R (Cmd+R),Ctrl+F (Cmd+F),Ctrl+S (Cmd+S),Ctrl+L (Cmd+L)
Keyboard Shortcuts,Library Module: Organisation,5,"After selecting a photo, what keyboard shortcut rejects it by marking it with a black flag?",X,R,D,0
Keyboard Shortcuts,Develop Module: Tools & Views,1,Which key immediately activates the Crop & Straighten tool in the Develop module?,R,C,S,T
Keyboard Shortcuts,Develop Module: Tools & Views,2,You are in the Develop module and want to see a side-by-side or top/bottom view of your image before and after your edits. Which key provides this?,Y,B,A,V
Keyboard Shortcuts,Develop Module: Tools & Views,3,Which keyboard shortcut activates the Spot Removal (Healing) tool in the Develop module?,Q,S,H,R
Keyboard Shortcuts,Develop Module: Tools & Views,4,"Which key opens the main Masking panel, giving you access to the Brush, Gradients, and AI selection tools?",Shift+W,M,K,Shift+M
Keyboard Shortcuts,Develop Module: Tools & Views,5,You're in any module and want to jump directly to the Develop module to start editing a selected photo. Which key do you press?,D,E,T,M
Keyboard Shortcuts,Develop Module: Adjustments & Previews,1,"To quickly see the ""before"" state of your image while in the Develop module, which key can you press and hold?",The \ (backslash) key,The / (forward slash) key,The B key,The P key
Keyboard Shortcuts,Develop Module: Adjustments & Previews,2,What is the keyboard shortcut to quickly convert a colour photo to Black & White in the Basic panel?,V,B,Ctrl+B (Cmd+B),G
Keyboard Shortcuts,Develop Module: Adjustments & Previews,3,"Which key do you press to show or hide the clipping masks, which indicate areas of pure black or pure white with no detail?",J,C,H,O
Keyboard Shortcuts,Develop Module: Adjustments & Previews,4,"When using a tool like the Adjustment Brush, what is the fastest way to increase or decrease the brush size?",Using the [ and ] (square bracket) keys.,Using the + and - (plus and minus) keys.,Holding Ctrl (Cmd) and using the arrow keys.,Using the up and down arrow keys
Keyboard Shortcuts,Develop Module: Adjustments & Previews,5,What is the shortcut for activating the White Balance Selector (eyedropper tool) to click on a neutral-toned area in your image?,W,E,B,I
Keyboard Shortcuts,Global Shortcuts (Across Modules),1,What happens when you press the Tab key in Lightroom?,It hides or shows both the left and right side panels.,It takes you to the next photo in the filmstrip.,It opens the Export dialog.,"It hides all panels, including the top and bottom ones."
Keyboard Shortcuts,Global Shortcuts (Across Modules),2,"Which shortcut will open the Export dialog box, allowing you to save your edited photo as a JPEG or other format?",Ctrl+Shift+E (Cmd+Shift+E),Ctrl+E (Cmd+E),Ctrl+S (Cmd+S),Alt+E (Opt+E)
Keyboard Shortcuts,Global Shortcuts (Across Modules),3,"You want a clean, full-screen preview of your selected image without any of Lightroom's interface. Which key should you press?",F,Shift+F,E,L
Keyboard Shortcuts,Global Shortcuts (Across Modules),4,What is the function of the T key in the Library and Develop modules?,It shows or hides the Toolbar that appears below the main image preview area.,It opens the Tone Curve panel.,"It adds the ""T"" keyword to the photo.",It synchronises the settings of all selected photos.
Keyboard Shortcuts,Global Shortcuts (Across Modules),5,"To send an image from Lightroom to be edited in Adobe Photoshop, you would press:",Ctrl+E (Cmd+E),Ctrl+P (Cmd+P),Ctrl+Shift+P (Cmd+Shift+P),Ctrl+X (Cmd+X)
Exporting Images,Export Location,1,"In the ""Export Location"" panel, what does the ""Same folder as original photo"" option do?",It saves the exported file in the exact same folder where your original source file is located.,It overwrites your original raw file with the new exported file.,"It creates a new folder called ""Exported"" inside the original photo's folder.",It moves the original photo to a new location.
Exporting Images,Export Location,2,"What is the purpose of the ""Put in Subfolder"" checkbox?","It creates a new, named folder inside your chosen destination to hold the exported images.",It adds the exported photos to a Lightroom collection.,It converts your existing folder structure into a single folder.,It is a required step for all exports.
Exporting Images,Export Location,3,"When exporting, the ""Existing Files"" dropdown gives you the option ""Ask what to do."" When does this option activate?",It activates only when Lightroom detects a file with the same name in the destination folder.,"It activates every time you export, asking for confirmation.",It activates when you are exporting from a collection.,It activates when your hard drive is nearly full.
Exporting Images,Export Location,4,"What does the ""Add to This Catalog"" option do when checked?","It re-imports the exported file (e.g., a JPEG) back into your Lightroom Classic catalogue as a separate image.",It overwrites the original file in the catalogue with the new exported version.,It adds the export settings to a list of presets.,It backs up your catalogue after the export is complete.
Exporting Images,Export Location,5,"Which ""Export To"" option is generally the best practice for creating a dedicated, organised folder of final images on your desktop or another drive?",Specific folder,Same folder as original photo,Choose folder later,User home folder
Exporting Images,File Naming,1,"If you want to name your exported files ""Vacation-1,"" ""Vacation-2,"" etc., which renaming template should you choose?",Custom Name - Sequence,Filename,Date - Filename,Edit...
